Method,MSE_train,MAE_train,R_2_train,MSE_pred,MAE_pred,R_2_pred
LR,0.003,0.038,0.913,0.017,0.096,0.468
LR_Ridge,0.003,0.041,0.903,0.018,0.101,0.44
LR_Lasso,0.005,0.051,0.854,0.017,0.098,0.488
LR_Elastic,0.005,0.05,0.856,0.017,0.098,0.485
GAM,0.0,0.009,0.995,0.015,0.091,0.549
KNN,0.002,0.032,0.93,0.019,0.106,0.398
SVR,0.005,0.06,0.861,0.014,0.087,0.561
RF,0.0,0.006,0.995,0.019,0.104,0.416
AdaB,0.001,0.026,0.965,0.012,0.084,0.631
XGBoost,0.0,0.0,1.0,0.011,0.077,0.663
MLP,0.009,0.071,0.727,0.024,0.119,0.268
